,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g_mp[headers x StatemInsertProb],0.001,0.034,-0.053,0.057,0.0,0.0,34055.0,14908.0,1.0
g_mp[return_from_generator x Crossover],0.001,0.037,-0.059,0.06,0.0,0.0,35610.0,14158.0,1.0
g_mp[namedtupleutils x StatemInsertProb],0.001,0.04,-0.063,0.063,0.0,0.0,31455.0,14258.0,1.0
g_mp[da x StatemInsertProb],0.001,0.037,-0.06,0.056,0.0,0.0,35183.0,14899.0,1.0
g_mp[decorators x StatemInsertProb],0.001,0.035,-0.053,0.059,0.0,0.0,35809.0,15502.0,1.0
g_mp[helpers x StatemInsertProb],0.001,0.035,-0.054,0.057,0.0,0.0,38482.0,15412.0,1.0
g_mp[namedtupleutils x TourSize],0.001,0.041,-0.064,0.065,0.0,0.0,30351.0,14201.0,1.0
g_mp[immutable_list x StatemInsertProb],0.001,0.036,-0.056,0.06,0.0,0.0,36134.0,14791.0,1.0
g_mp[validation x StatemInsertProb],0.001,0.04,-0.064,0.062,0.0,0.0,36936.0,14540.0,1.0
g_mp[packages x RandPert],0.001,0.04,-0.063,0.065,0.0,0.0,35401.0,13801.0,1.0
g_mp[signals x TestDeleteProb],0.001,0.038,-0.057,0.064,0.0,0.0,39194.0,13638.0,1.0
g_mp[h_base x TestChangeProb],0.001,0.036,-0.056,0.06,0.0,0.0,31265.0,14485.0,1.0
g_mp[python x StatemInsertProb],0.001,0.037,-0.058,0.059,0.0,0.0,33398.0,14757.0,1.0
g_mp[pgzero_frontend x StatemInsertProb],0.001,0.035,-0.053,0.058,0.0,0.0,36142.0,15535.0,1.0
g_mp[immutable_list x ChromLen],0.002,0.036,-0.054,0.06,0.0,0.0,31853.0,14516.0,1.0
g_mp[lazy_import x TestDeleteProb],0.002,0.035,-0.053,0.058,0.0,0.0,37727.0,15334.0,1.0
g_mp[timer x ChromLen],0.002,0.039,-0.06,0.064,0.0,0.0,36797.0,14522.0,1.0
g_mp[python x ChromLen],0.002,0.036,-0.054,0.061,0.0,0.0,29445.0,13759.0,1.0
g_mp[immutable_list x TestDeleteProb],0.002,0.037,-0.056,0.06,0.0,0.0,31942.0,15192.0,1.0
g_mp[da x TestDeleteProb],0.002,0.037,-0.056,0.062,0.0,0.0,32253.0,14720.0,1.0
g_mp[namedtupleutils x ChromLen],0.002,0.04,-0.063,0.065,0.0,0.0,40165.0,14877.0,1.0
g_mp[dict_unpacking x Pop],0.002,0.038,-0.059,0.062,0.0,0.0,35810.0,15638.0,1.0
g_mp[headers x ChromLen],0.002,0.035,-0.051,0.06,0.0,0.0,34560.0,14422.0,1.0
g_mp[da x ChromLen],0.002,0.037,-0.056,0.061,0.0,0.0,34736.0,14843.0,1.0
g_mp[maybe x ChromLen],0.002,0.039,-0.061,0.062,0.0,0.0,37483.0,15126.0,1.0
g_mp[decorators x TestDeleteProb],0.002,0.035,-0.053,0.059,0.0,0.0,35106.0,14880.0,1.0
g_mp[helpers x ChromLen],0.002,0.035,-0.055,0.057,0.0,0.0,37915.0,14646.0,1.0
g_mp[pgzero_frontend x TestDeleteProb],0.003,0.035,-0.054,0.056,0.0,0.0,31745.0,14684.0,1.0
g_mp[signals x TestInsertProb],0.003,0.037,-0.055,0.064,0.0,0.0,31077.0,14033.0,1.0
g_mp[timer x ChangeParamProb],0.003,0.038,-0.057,0.065,0.0,0.0,37037.0,14700.0,1.0
g_mp[helpers x ChromLen],0.003,0.036,-0.055,0.06,0.0,0.0,38514.0,14427.0,1.0
g_mp[lazy_import x ChromLen],0.003,0.035,-0.053,0.057,0.0,0.0,33749.0,15391.0,1.0
g_mp[helpers x StatemInsertProb],0.003,0.036,-0.055,0.061,0.0,0.0,35757.0,15369.0,1.0
g_mp[decorators x ChromLen],0.003,0.035,-0.054,0.059,0.0,0.0,29632.0,14961.0,1.0
g_mp[dict_unpacking x ChromLen],0.003,0.038,-0.056,0.066,0.0,0.0,37235.0,14645.0,1.0
g_mp[cmd x Pop],0.003,0.04,-0.064,0.065,0.0,0.0,38842.0,14612.0,1.0
g_mp[yield_from x TestChangeProb],0.003,0.035,-0.053,0.058,0.0,0.0,33914.0,14786.0,1.0
g_mp[maybe x Pop],0.003,0.039,-0.06,0.063,0.0,0.0,34797.0,13951.0,1.0
g_mp[namedtupleutils x Pop],0.003,0.04,-0.062,0.066,0.0,0.0,38034.0,14786.0,1.0
g_mp[dict_unpacking x ChangeParamProb],0.003,0.038,-0.06,0.061,0.0,0.0,35067.0,14164.0,1.0
g_mp[signals x Pop],0.003,0.037,-0.054,0.065,0.0,0.0,34742.0,13415.0,1.0
g_mp[validation x Pop],0.003,0.039,-0.059,0.066,0.0,0.0,36214.0,13590.0,1.0
g_mp[pgzero_frontend x ChromLen],0.003,0.035,-0.052,0.059,0.0,0.0,34494.0,14825.0,1.0
g_mp[headers x TestDeleteProb],0.003,0.035,-0.055,0.057,0.0,0.0,33163.0,14152.0,1.0
g_mp[helpers x TestDeleteProb],0.003,0.035,-0.053,0.061,0.0,0.0,33937.0,14529.0,1.0
g_mp[timer x Crossover],0.003,0.038,-0.059,0.062,0.0,0.0,37464.0,15270.0,1.0
g_mp[h_base x StatemInsertProb],0.003,0.036,-0.053,0.064,0.0,0.0,35765.0,14939.0,1.0
g_mp[dict_unpacking x Crossover],0.004,0.038,-0.058,0.062,0.0,0.0,36392.0,14347.0,1.0
g_mp[lazy_import x ChangeParamProb],0.004,0.035,-0.051,0.061,0.0,0.0,36796.0,14282.0,1.0
g_mp[signals x TestChangeProb],0.004,0.037,-0.056,0.061,0.0,0.0,36537.0,15211.0,1.0
g_mp[yield_from x StatemInsertProb],0.005,0.035,-0.049,0.061,0.0,0.0,39332.0,15242.0,1.0
g_mp[da x Pop],0.005,0.037,-0.053,0.064,0.0,0.0,31151.0,14679.0,1.0
g_mp[config x TestInsertProb],0.005,0.036,-0.053,0.062,0.0,0.0,32925.0,14264.0,1.0
g_mp[config x RandPert],0.005,0.037,-0.053,0.064,0.0,0.0,35650.0,14998.0,1.0
g_mp[python x Pop],0.005,0.036,-0.052,0.064,0.0,0.0,34615.0,14963.0,1.0
g_mp[packages x TestInsertProb],0.005,0.041,-0.061,0.069,0.0,0.0,33939.0,13565.0,1.0
g_mp[journaling x TestInsertProb],0.005,0.036,-0.052,0.062,0.0,0.0,33090.0,15520.0,1.0
g_mp[immutable_list x Pop],0.005,0.036,-0.051,0.063,0.0,0.0,34404.0,14937.0,1.0
g_mp[helpers x Pop],0.006,0.035,-0.05,0.062,0.0,0.0,36966.0,15240.0,1.0
g_mp[headers x Pop],0.006,0.035,-0.05,0.06,0.0,0.0,34774.0,15399.0,1.0
g_mp[decorators x Pop],0.006,0.035,-0.051,0.061,0.0,0.0,32582.0,14988.0,1.0
g_mp[pgzero_frontend x Pop],0.006,0.036,-0.05,0.064,0.0,0.0,31629.0,14031.0,1.0
