,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g_mp[py_base x TestChangeProb|TourSize],1.067,0.722,0.544,1.454,0.005,0.004,25871.0,16218.0,1.0
g_mp[h_base x Elite|StatemInsertProb],1.067,0.592,0.493,1.423,0.005,0.003,25619.0,16485.0,1.0
g_mp[lazy_import x ChangeParamProb|TestDeleteProb],1.067,0.608,0.506,1.421,0.005,0.003,23173.0,16713.0,1.0
g_mp[validation x Crossover|Elite],1.067,0.68,0.523,1.445,0.005,0.004,24758.0,16519.0,1.0
g_mp[h_base x ChangeParamProb|TestDeleteProb],1.067,0.57,0.515,1.439,0.004,0.003,22598.0,17364.0,1.0
g_mp[validation x TestChangeProb|TestDeleteProb],1.067,0.577,0.518,1.428,0.005,0.004,23617.0,17010.0,1.0
g_mp[headers x ChangeParamProb|TourSize],1.067,0.548,0.516,1.451,0.004,0.003,25002.0,15985.0,1.0
g_mp[positional_validation x ChangeParamProb|RandPert],1.067,0.655,0.526,1.44,0.005,0.003,22921.0,17356.0,1.0
g_mp[return_from_generator x ChromLen|Elite],1.067,0.644,0.514,1.441,0.005,0.003,25095.0,15554.0,1.0
g_mp[h_base x TestDeleteProb|TestInsertProb],1.067,0.634,0.53,1.458,0.005,0.003,23339.0,16499.0,1.0
g_mp[journaling x TestChangeProb|TestInsertionProb],1.067,0.726,0.516,1.439,0.005,0.004,23455.0,16489.0,1.0
g_mp[signals x ChromLen|TourSize],1.067,0.709,0.531,1.452,0.005,0.004,23272.0,16777.0,1.0
g_mp[headers x TestChangeProb|TestInsertionProb],1.067,0.605,0.546,1.465,0.005,0.003,24056.0,16834.0,1.0
g_mp[timer x Elite|TourSize],1.067,0.818,0.522,1.446,0.006,0.004,25102.0,17267.0,1.0
g_mp[positional_validation x RandPert|StatemInsertProb],1.067,0.731,0.538,1.455,0.005,0.004,23397.0,16591.0,1.0
g_mp[packages x Elite|TestDeleteProb],1.067,0.7,0.508,1.416,0.005,0.004,23709.0,17097.0,1.0
g_mp[signals x RandPert|TestChangeProb],1.067,0.642,0.526,1.442,0.005,0.003,25040.0,16989.0,1.0
