,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g_mp[validation x StatemInsertProb|TestDeleteProb],1.073,0.617,0.56,1.494,0.004,0.003,24332.0,16279.0,1.0
g_mp[config x RandPert|TourSize],1.073,0.932,0.52,1.433,0.007,0.005,24091.0,17064.0,1.0
g_mp[py_helpers x Elite|TourSize],1.073,0.668,0.54,1.464,0.005,0.004,25582.0,16584.0,1.0
g_mp[journaling x RandPert|TourSize],1.073,0.709,0.513,1.454,0.006,0.005,24070.0,16991.0,1.0
g_mp[validation x Elite|TourSize],1.073,0.98,0.553,1.47,0.008,0.006,24391.0,16937.0,1.0
g_mp[yield_from x Elite|TestChangeProb],1.073,0.935,0.542,1.475,0.007,0.005,24231.0,16447.0,1.0
g_mp[positional_validation x RandPert|TourSize],1.073,0.867,0.535,1.458,0.006,0.005,25047.0,17184.0,1.0
g_mp[pgzero_frontend x Pop|RandPert],1.073,0.957,0.528,1.445,0.007,0.005,25574.0,16495.0,1.0
g_mp[yield_from x Pop|TestChangeProb],1.073,0.679,0.524,1.453,0.005,0.004,24169.0,17367.0,1.0
g_mp[decorators x Pop|StatemInsertProb],1.073,0.856,0.518,1.443,0.007,0.005,23797.0,16247.0,1.0
g_mp[pgzero_frontend x Crossover|TestChangeProb],1.073,0.783,0.522,1.466,0.006,0.004,23742.0,16900.0,1.0
g_mp[decorators x Crossover|TestDeleteProb],1.073,0.698,0.522,1.465,0.005,0.004,22487.0,16982.0,1.0
g_mp[headers x Crossover|TestDeleteProb],1.073,0.745,0.525,1.45,0.006,0.004,25221.0,16481.0,1.0
g_mp[py_helpers x StatemInsertProb|TestInsertProb],1.073,0.836,0.551,1.479,0.006,0.004,23661.0,15948.0,1.0
g_mp[yield_from x Pop|TestInsertionProb],1.073,0.605,0.541,1.487,0.005,0.003,25753.0,16115.0,1.0
g_mp[immutable_list x Pop|TestInsertionProb],1.073,0.899,0.535,1.45,0.007,0.005,24261.0,16348.0,1.0
g_mp[lazy_import x StatemInsertProb|TestInsertProb],1.073,0.772,0.518,1.453,0.006,0.004,24563.0,17300.0,1.0
g_mp[headers x Crossover|TestInsertionProb],1.073,0.613,0.535,1.466,0.005,0.003,24877.0,16900.0,1.0
g_mp[positional_validation x Pop|TestInsertionProb],1.073,0.649,0.511,1.455,0.005,0.003,25221.0,16411.0,1.0
g_mp[packages x Pop|TourSize],1.073,1.434,0.531,1.458,0.01,0.007,24171.0,15604.0,1.0
g_mp[maybe x RandPert|StatemInsertProb],1.073,0.773,0.52,1.453,0.006,0.004,25340.0,16613.0,1.0
g_mp[lazy_import x Pop|TourSize],1.073,0.763,0.494,1.423,0.006,0.004,24718.0,16634.0,1.0
g_mp[packages x Crossover|TestInsertProb],1.073,0.696,0.522,1.429,0.005,0.004,25346.0,16201.0,1.0
g_mp[timer x StatemInsertProb|TestInsertionProb],1.073,0.705,0.513,1.447,0.005,0.004,23623.0,16813.0,1.0
g_mp[s_helpers x StatemInsertProb|TestInsertProb],1.073,0.952,0.509,1.43,0.007,0.005,22948.0,16571.0,1.0
g_mp[cmd x Crossover|TourSize],1.073,0.763,0.53,1.466,0.006,0.004,22579.0,15418.0,1.0
g_mp[immutable_list x Elite|StatemInsertProb],1.073,0.799,0.544,1.46,0.006,0.004,23566.0,17080.0,1.0
g_mp[positional_validation x RandPert|TestChangeProb],1.073,0.611,0.514,1.449,0.005,0.003,24319.0,15826.0,1.0
g_mp[py_base x StatemInsertProb|TestInsertProb],1.073,0.665,0.55,1.475,0.005,0.003,25315.0,16523.0,1.0
g_mp[return_from_generator x Elite|StatemInsertProb],1.073,0.754,0.527,1.455,0.006,0.004,22345.0,16365.0,1.0
g_mp[cmd x Pop|StatemInsertProb],1.073,0.922,0.532,1.459,0.007,0.005,24162.0,16594.0,1.0
g_mp[yield_from x Pop|StatemInsertProb],1.073,0.766,0.513,1.447,0.006,0.004,25054.0,16406.0,1.0
g_mp[positional_validation x Pop|TourSize],1.073,1.345,0.547,1.458,0.01,0.007,24594.0,16103.0,1.0
g_mp[cmd x Pop|TestDeleteProb],1.073,0.779,0.522,1.449,0.006,0.004,22664.0,17379.0,1.0
g_mp[immutable_list x Elite|RandPert],1.073,0.881,0.535,1.47,0.007,0.005,25677.0,16364.0,1.0
g_mp[dict_unpacking x Elite|RandPert],1.073,1.14,0.519,1.438,0.008,0.006,23177.0,15157.0,1.0
g_mp[py_base x Elite|RandPert],1.073,0.835,0.464,1.396,0.006,0.004,25154.0,16554.0,1.0
g_mp[signals x StatemInsertProb|TestInsertionProb],1.073,1.348,0.542,1.44,0.01,0.007,23145.0,16477.0,1.0
g_mp[pgzero_frontend x Elite|Pop],1.073,0.626,0.543,1.455,0.005,0.003,25192.0,16763.0,1.0
g_mp[return_from_generator x RandPert|TestDeleteProb],1.073,0.701,0.548,1.472,0.005,0.004,24807.0,16355.0,1.0
g_mp[headers x Elite|Pop],1.073,0.787,0.515,1.449,0.006,0.004,26666.0,15059.0,1.0
g_mp[h_base x Pop|TestInsertProb],1.073,0.938,0.515,1.45,0.007,0.005,24731.0,17757.0,1.0
g_mp[python x StatemInsertProb|TestInsertionProb],1.073,0.86,0.534,1.449,0.006,0.005,25207.0,16946.0,1.0
g_mp[return_from_generator x Crossover|TourSize],1.073,0.903,0.522,1.459,0.007,0.005,23681.0,16624.0,1.0
g_mp[headers x Crossover|TourSize],1.073,0.595,0.518,1.439,0.004,0.003,26158.0,17112.0,1.0
g_mp[positional_validation x Elite|StatemInsertProb],1.073,0.697,0.533,1.468,0.005,0.004,23191.0,16431.0,1.0
g_mp[namedtupleutils x Crossover|TestDeleteProb],1.073,0.708,0.517,1.448,0.005,0.004,22897.0,16743.0,1.0
g_mp[validation x ChromLen|TestDeleteProb],1.073,0.909,0.523,1.449,0.007,0.005,23528.0,15451.0,1.0
g_mp[lazy_import x ChromLen|TestInsertionProb],1.073,0.704,0.518,1.455,0.005,0.004,24634.0,16726.0,1.0
g_mp[namedtupleutils x ChangeParamProb|TestInsertProb],1.073,0.836,0.501,1.416,0.006,0.004,25244.0,17108.0,1.0
g_mp[positional_validation x ChromLen|RandPert],1.073,0.71,0.511,1.462,0.005,0.004,25195.0,16271.0,1.0
g_mp[pgzero_frontend x ChromLen|RandPert],1.073,1.079,0.566,1.473,0.008,0.005,24768.0,16335.0,1.0
g_mp[da x ChromLen|TestInsertionProb],1.073,0.697,0.52,1.43,0.005,0.004,23371.0,16412.0,1.0
g_mp[maybe x ChromLen|TestInsertionProb],1.073,0.697,0.549,1.476,0.005,0.004,24984.0,16409.0,1.0
g_mp[headers x ChromLen|TestInsertProb],1.073,0.789,0.503,1.419,0.006,0.004,24044.0,16414.0,1.0
g_mp[cmd x TestInsertProb|TourSize],1.073,0.846,0.537,1.449,0.006,0.004,23096.0,16700.0,1.0
g_mp[h_base x ChangeParamProb|Pop],1.073,0.656,0.511,1.445,0.005,0.004,25203.0,16008.0,1.0
g_mp[lazy_import x ChangeParamProb|Pop],1.073,0.799,0.517,1.429,0.006,0.004,21954.0,16645.0,1.0
g_mp[signals x TestDeleteProb|TestInsertionProb],1.073,0.686,0.526,1.454,0.005,0.004,23374.0,17006.0,1.0
g_mp[h_base x ChromLen|TourSize],1.073,0.63,0.514,1.436,0.005,0.003,22379.0,16090.0,1.0
g_mp[s_helpers x ChangeParamProb|TestDeleteProb],1.073,0.778,0.537,1.465,0.006,0.005,24710.0,16525.0,1.0
g_mp[headers x ChromLen|StatemInsertProb],1.073,0.814,0.559,1.476,0.006,0.004,25125.0,16078.0,1.0
g_mp[signals x TestInsertionProb|TourSize],1.073,0.743,0.532,1.466,0.006,0.004,23335.0,15612.0,1.0
g_mp[s_helpers x TestInsertProb|TourSize],1.073,0.798,0.538,1.457,0.006,0.004,23882.0,15829.0,1.0
g_mp[pgzero_frontend x TestDeleteProb|TestInsertProb],1.073,0.651,0.523,1.456,0.005,0.003,24083.0,17313.0,1.0
g_mp[pgzero_frontend x ChangeParamProb|TestInsertionProb],1.073,0.727,0.541,1.468,0.005,0.004,24359.0,16507.0,1.0
g_mp[py_base x TestInsertProb|TestInsertionProb],1.073,0.823,0.503,1.432,0.006,0.004,23911.0,17609.0,1.0
g_mp[validation x ChangeParamProb|RandPert],1.073,0.757,0.515,1.452,0.006,0.004,27025.0,16532.0,1.0
g_mp[signals x ChangeParamProb|Elite],1.073,0.805,0.529,1.467,0.006,0.004,23364.0,17059.0,1.0
g_mp[cmd x ChromLen|RandPert],1.073,0.804,0.519,1.437,0.006,0.004,24760.0,16520.0,1.0
g_mp[positional_validation x ChromLen|Elite],1.073,0.698,0.536,1.445,0.006,0.004,23403.0,15716.0,1.0
g_mp[h_base x TestInsertProb|TourSize],1.073,0.77,0.522,1.443,0.006,0.004,20667.0,16446.0,1.0
g_mp[dict_unpacking x ChangeParamProb|TestInsertionProb],1.073,0.667,0.535,1.471,0.005,0.003,24827.0,16860.0,1.0
g_mp[namedtupleutils x ChangeParamProb|RandPert],1.073,0.665,0.542,1.459,0.005,0.003,24980.0,16827.0,1.0
g_mp[positional_validation x ChangeParamProb|TourSize],1.073,0.941,0.52,1.455,0.007,0.005,24710.0,16860.0,1.0
g_mp[immutable_list x ChromLen|Pop],1.073,0.669,0.512,1.445,0.005,0.004,23397.0,16840.0,1.0
g_mp[maybe x ChromLen|StatemInsertProb],1.073,0.624,0.532,1.441,0.005,0.003,23974.0,15700.0,1.0
g_mp[config x RandPert|TestDeleteProb],1.074,0.677,0.525,1.452,0.006,0.004,23085.0,16860.0,1.0
g_mp[cmd x Crossover|TestInsertProb],1.074,0.925,0.547,1.447,0.007,0.005,25524.0,17156.0,1.0
g_mp[return_from_generator x ChangeParamProb|Elite],1.074,0.628,0.518,1.447,0.005,0.003,23268.0,16334.0,1.0
g_mp[config x ChromLen|TestChangeProb],1.074,0.671,0.504,1.431,0.005,0.004,23265.0,16987.0,1.0
g_mp[python x ChangeParamProb|TestInsertionProb],1.074,1.128,0.54,1.447,0.008,0.006,24610.0,16484.0,1.0
g_mp[maybe x ChangeParamProb|TestInsertionProb],1.074,0.729,0.516,1.43,0.006,0.004,22129.0,17215.0,1.0
g_mp[yield_from x ChromLen|TestChangeProb],1.074,0.643,0.501,1.438,0.005,0.003,24023.0,16689.0,1.0
g_mp[py_base x Pop|TestChangeProb],1.074,1.009,0.543,1.476,0.008,0.006,25196.0,16907.0,1.0
g_mp[dict_unpacking x Crossover|TestDeleteProb],1.074,0.924,0.537,1.458,0.007,0.005,24308.0,17110.0,1.0
g_mp[positional_validation x Elite|TestInsertionProb],1.074,1.138,0.532,1.459,0.009,0.006,23636.0,16711.0,1.0
g_mp[decorators x RandPert|TestInsertionProb],1.074,0.991,0.517,1.439,0.007,0.005,23199.0,16868.0,1.0
g_mp[da x TestInsertProb|TestInsertionProb],1.074,0.676,0.538,1.472,0.005,0.004,24659.0,16506.0,1.0
g_mp[pgzero_frontend x RandPert|TestInsertProb],1.074,0.943,0.501,1.425,0.008,0.006,25699.0,16891.0,1.0
g_mp[cmd x TestChangeProb|TestDeleteProb],1.074,0.708,0.546,1.468,0.005,0.004,24684.0,16543.0,1.0
g_mp[python x Elite|TourSize],1.074,1.466,0.519,1.45,0.01,0.007,21440.0,16146.0,1.0
g_mp[lazy_import x Crossover|TestChangeProb],1.074,0.706,0.509,1.445,0.006,0.004,23797.0,16186.0,1.0
g_mp[s_helpers x TestChangeProb|TestInsertionProb],1.074,0.642,0.543,1.475,0.005,0.003,24920.0,17054.0,1.0
g_mp[cmd x Pop|TestInsertProb],1.074,1.243,0.527,1.439,0.009,0.006,23442.0,16432.0,1.0
g_mp[packages x StatemInsertProb|TestDeleteProb],1.074,0.778,0.514,1.426,0.006,0.004,24380.0,16834.0,1.0
g_mp[h_base x Crossover|TestDeleteProb],1.074,0.885,0.486,1.429,0.007,0.005,24017.0,17058.0,1.0
g_mp[h_base x ChromLen|TestDeleteProb],1.074,0.818,0.512,1.434,0.006,0.004,24262.0,17020.0,1.0
g_mp[yield_from x Crossover|TestDeleteProb],1.074,0.723,0.513,1.456,0.005,0.004,23513.0,16965.0,1.0
g_mp[cmd x ChangeParamProb|TestChangeProb],1.074,0.809,0.512,1.427,0.006,0.004,23252.0,16313.0,1.0
g_mp[decorators x Elite|TourSize],1.074,0.793,0.499,1.429,0.006,0.004,22857.0,16527.0,1.0
g_mp[immutable_list x ChangeParamProb|TestInsertionProb],1.074,0.774,0.514,1.455,0.006,0.004,24974.0,16360.0,1.0
g_mp[pgzero_frontend x Elite|TestInsertionProb],1.074,0.727,0.522,1.45,0.005,0.004,24409.0,16026.0,1.0
g_mp[config x ChangeParamProb|TestInsertionProb],1.074,0.847,0.56,1.489,0.006,0.004,26533.0,17121.0,1.0
g_mp[yield_from x ChromLen|StatemInsertProb],1.074,0.69,0.531,1.468,0.005,0.004,23015.0,16769.0,1.0
g_mp[headers x TestDeleteProb|TestInsertProb],1.074,0.798,0.528,1.463,0.006,0.004,24162.0,16370.0,1.0
g_mp[maybe x ChangeParamProb|RandPert],1.074,0.909,0.491,1.44,0.007,0.005,24658.0,16950.0,1.0
g_mp[h_base x TestChangeProb|TestInsertProb],1.074,0.652,0.529,1.456,0.005,0.004,23946.0,16497.0,1.0
g_mp[namedtupleutils x RandPert|StatemInsertProb],1.074,0.718,0.499,1.421,0.005,0.004,24841.0,16016.0,1.0
g_mp[maybe x TestDeleteProb|TourSize],1.074,0.807,0.538,1.472,0.006,0.004,24605.0,17070.0,1.0
g_mp[dict_unpacking x Elite|StatemInsertProb],1.074,0.68,0.531,1.478,0.005,0.004,26199.0,15706.0,1.0
g_mp[positional_validation x Elite|TestChangeProb],1.074,0.775,0.521,1.465,0.006,0.004,23029.0,16415.0,1.0
g_mp[packages x Elite|StatemInsertProb],1.074,1.204,0.534,1.451,0.009,0.006,24773.0,16687.0,1.0
g_mp[return_from_generator x ChromLen|Pop],1.074,1.126,0.524,1.443,0.008,0.006,23861.0,16668.0,1.0
g_mp[s_helpers x ChangeParamProb|RandPert],1.074,0.938,0.536,1.458,0.007,0.005,22650.0,16958.0,1.0
g_mp[packages x TestDeleteProb|TourSize],1.074,1.07,0.524,1.455,0.008,0.005,23406.0,16132.0,1.0
g_mp[lazy_import x Elite|TestDeleteProb],1.074,0.868,0.538,1.466,0.006,0.005,24153.0,17981.0,1.0
g_mp[yield_from x ChromLen|RandPert],1.074,1.215,0.564,1.487,0.009,0.006,23159.0,16371.0,1.0
g_mp[journaling x ChangeParamProb|TourSize],1.074,0.775,0.53,1.464,0.006,0.004,22917.0,15564.0,1.0
g_mp[timer x Elite|TestInsertProb],1.074,0.878,0.523,1.446,0.006,0.005,22774.0,17024.0,1.0
g_mp[dict_unpacking x RandPert|TestChangeProb],1.074,1.001,0.529,1.475,0.007,0.005,23990.0,15744.0,1.0
g_mp[namedtupleutils x Elite|TestInsertProb],1.074,0.843,0.519,1.455,0.006,0.004,23293.0,16785.0,1.0
g_mp[journaling x Crossover|TourSize],1.074,0.951,0.542,1.486,0.007,0.005,24133.0,16544.0,1.0
g_mp[timer x ChangeParamProb|Pop],1.074,0.787,0.553,1.481,0.006,0.004,23997.0,16399.0,1.0
g_mp[py_helpers x Pop|TestInsertProb],1.074,0.724,0.53,1.452,0.005,0.004,25458.0,15909.0,1.0
g_mp[journaling x Pop|TestInsertProb],1.074,0.728,0.537,1.454,0.005,0.004,23567.0,15927.0,1.0
g_mp[timer x TestInsertProb|TestInsertionProb],1.074,0.798,0.544,1.463,0.006,0.004,21721.0,16748.0,1.0
g_mp[headers x RandPert|TestDeleteProb],1.074,0.647,0.556,1.497,0.005,0.003,24435.0,17291.0,1.0
g_mp[dict_unpacking x ChangeParamProb|TourSize],1.074,0.838,0.538,1.465,0.006,0.005,23106.0,16347.0,1.0
g_mp[py_helpers x TestChangeProb|TestInsertionProb],1.074,0.89,0.545,1.45,0.007,0.005,24034.0,17038.0,1.0
g_mp[immutable_list x Elite|TestInsertProb],1.074,0.641,0.529,1.47,0.005,0.004,25004.0,15948.0,1.0
g_mp[dict_unpacking x ChangeParamProb|Pop],1.074,0.651,0.518,1.46,0.005,0.003,21879.0,16011.0,1.0
g_mp[config x RandPert|TestChangeProb],1.074,0.851,0.521,1.452,0.006,0.004,23996.0,16586.0,1.0
g_mp[da x ChromLen|StatemInsertProb],1.074,0.828,0.558,1.481,0.006,0.004,23983.0,16858.0,1.0
g_mp[yield_from x ChangeParamProb|TourSize],1.074,0.677,0.531,1.452,0.005,0.004,25398.0,16751.0,1.0
g_mp[h_base x Pop|TestInsertionProb],1.074,0.815,0.53,1.452,0.006,0.004,24540.0,16991.0,1.0
g_mp[immutable_list x ChangeParamProb|Pop],1.074,0.731,0.525,1.458,0.005,0.004,27413.0,15867.0,1.0
g_mp[positional_validation x Crossover|TestInsertionProb],1.074,1.006,0.533,1.466,0.007,0.005,23913.0,17000.0,1.0
g_mp[return_from_generator x ChromLen|TestInsertProb],1.074,0.934,0.535,1.465,0.007,0.005,24816.0,17095.0,1.0
g_mp[timer x Crossover|TestInsertProb],1.074,0.692,0.498,1.437,0.005,0.004,23576.0,16172.0,1.0
g_mp[s_helpers x StatemInsertProb|TourSize],1.074,0.741,0.518,1.432,0.006,0.004,23590.0,16291.0,1.0
g_mp[maybe x RandPert|TestInsertionProb],1.074,0.715,0.519,1.446,0.005,0.004,23207.0,16680.0,1.0
g_mp[positional_validation x TestDeleteProb|TestInsertProb],1.074,0.638,0.544,1.47,0.005,0.003,23042.0,17174.0,1.0
g_mp[pgzero_frontend x StatemInsertProb|TourSize],1.074,0.683,0.51,1.443,0.005,0.004,26219.0,16257.0,1.0
g_mp[packages x ChromLen|TourSize],1.074,0.892,0.505,1.408,0.007,0.005,25069.0,17229.0,1.0
g_mp[signals x StatemInsertProb|TourSize],1.074,1.247,0.547,1.467,0.009,0.006,25290.0,16988.0,1.0
g_mp[return_from_generator x ChromLen|TestInsertionProb],1.074,0.701,0.532,1.442,0.005,0.004,21971.0,16954.0,1.0
g_mp[lazy_import x ChangeParamProb|TestChangeProb],1.074,0.596,0.525,1.483,0.005,0.003,23922.0,16886.0,1.0
g_mp[signals x ChromLen|TestInsertionProb],1.074,0.64,0.533,1.462,0.005,0.004,23997.0,15246.0,1.0
g_mp[h_base x StatemInsertProb|TestChangeProb],1.074,0.723,0.507,1.427,0.005,0.004,22318.0,16692.0,1.0
g_mp[timer x Pop|TestDeleteProb],1.074,0.72,0.513,1.466,0.005,0.004,24834.0,16412.0,1.0
g_mp[immutable_list x TestDeleteProb|TestInsertProb],1.074,0.726,0.537,1.46,0.006,0.004,21750.0,16496.0,1.0
g_mp[validation x Crossover|RandPert],1.074,0.814,0.548,1.478,0.006,0.004,24719.0,15907.0,1.0
g_mp[h_base x Pop|StatemInsertProb],1.074,0.753,0.506,1.432,0.006,0.004,24862.0,15797.0,1.0
g_mp[py_base x RandPert|TestInsertionProb],1.074,0.714,0.498,1.427,0.005,0.004,23305.0,16021.0,1.0
g_mp[config x Crossover|Pop],1.074,0.76,0.55,1.483,0.006,0.004,23597.0,15855.0,1.0
g_mp[return_from_generator x Crossover|RandPert],1.074,0.816,0.503,1.448,0.006,0.004,23448.0,16396.0,1.0
g_mp[maybe x TestChangeProb|TourSize],1.074,1.058,0.52,1.461,0.008,0.006,23286.0,16352.0,1.0
g_mp[journaling x Pop|RandPert],1.074,0.769,0.527,1.458,0.006,0.004,21986.0,16883.0,1.0
g_mp[config x TestChangeProb|TourSize],1.074,0.852,0.524,1.454,0.006,0.005,22989.0,16036.0,1.0
g_mp[timer x TestDeleteProb|TestInsertProb],1.074,0.771,0.505,1.411,0.006,0.004,23075.0,16402.0,1.0
g_mp[config x ChangeParamProb|TestChangeProb],1.074,0.71,0.559,1.472,0.005,0.004,22211.0,16205.0,1.0
g_mp[immutable_list x ChangeParamProb|TestDeleteProb],1.074,0.789,0.539,1.457,0.006,0.004,23358.0,16882.0,1.0
g_mp[namedtupleutils x ChangeParamProb|ChromLen],1.074,0.844,0.533,1.464,0.006,0.005,24318.0,16861.0,1.0
g_mp[py_helpers x Pop|TestChangeProb],1.074,0.904,0.519,1.451,0.007,0.005,23023.0,15902.0,1.0
g_mp[maybe x ChromLen|TourSize],1.074,0.758,0.551,1.471,0.006,0.004,24983.0,16790.0,1.0
g_mp[py_base x ChromLen|TourSize],1.075,0.807,0.537,1.468,0.006,0.004,25901.0,16365.0,1.0
g_mp[h_base x StatemInsertProb|TestDeleteProb],1.075,0.834,0.52,1.431,0.006,0.004,24198.0,16976.0,1.0
g_mp[config x TestDeleteProb|TourSize],1.075,0.668,0.552,1.479,0.005,0.003,25241.0,16496.0,1.0
g_mp[cmd x Pop|TestInsertionProb],1.075,1.168,0.533,1.446,0.008,0.006,22920.0,15937.0,1.0
g_mp[da x Crossover|Pop],1.075,0.648,0.566,1.486,0.005,0.003,22984.0,16396.0,1.0
g_mp[config x TestInsertProb|TestInsertionProb],1.075,0.758,0.54,1.461,0.006,0.004,25111.0,16125.0,1.0
g_mp[cmd x ChangeParamProb|RandPert],1.075,0.861,0.531,1.441,0.006,0.005,23036.0,15528.0,1.0
g_mp[lazy_import x TestInsertProb|TestInsertionProb],1.075,0.855,0.534,1.457,0.006,0.004,23177.0,17187.0,1.0
g_mp[python x TestInsertProb|TourSize],1.075,1.043,0.562,1.481,0.007,0.005,23913.0,17175.0,1.0
g_mp[s_helpers x ChromLen|StatemInsertProb],1.075,0.787,0.5,1.454,0.006,0.004,23311.0,17104.0,1.0
g_mp[lazy_import x TestInsertProb|TourSize],1.075,0.939,0.538,1.452,0.007,0.005,25795.0,16461.0,1.0
g_mp[da x RandPert|TestDeleteProb],1.075,0.831,0.561,1.486,0.006,0.004,23409.0,16711.0,1.0
g_mp[namedtupleutils x Elite|TestChangeProb],1.075,0.677,0.543,1.469,0.005,0.004,24481.0,16340.0,1.0
g_mp[s_helpers x Crossover|TestInsertProb],1.075,0.688,0.5,1.429,0.005,0.004,22367.0,17232.0,1.0
g_mp[return_from_generator x Pop|TestInsertProb],1.075,0.678,0.521,1.438,0.005,0.004,23979.0,15849.0,1.0
g_mp[dict_unpacking x Elite|TestChangeProb],1.075,0.847,0.533,1.459,0.006,0.004,23336.0,15911.0,1.0
g_mp[journaling x Crossover|TestInsertProb],1.075,0.648,0.527,1.464,0.005,0.004,24030.0,16885.0,1.0
g_mp[pgzero_frontend x ChangeParamProb|StatemInsertProb],1.075,1.373,0.531,1.455,0.01,0.007,24994.0,15228.0,1.0
g_mp[dict_unpacking x ChangeParamProb|TestInsertProb],1.075,0.764,0.527,1.449,0.006,0.004,25025.0,16575.0,1.0
g_mp[lazy_import x TestDeleteProb|TestInsertionProb],1.075,0.73,0.537,1.458,0.006,0.004,24404.0,16226.0,1.0
g_mp[lazy_import x Elite|TestChangeProb],1.075,0.7,0.535,1.477,0.005,0.004,22815.0,16223.0,1.0
g_mp[decorators x ChangeParamProb|ChromLen],1.075,0.781,0.529,1.464,0.006,0.004,23639.0,16856.0,1.0
g_mp[signals x TestChangeProb|TestInsertProb],1.075,0.773,0.483,1.425,0.006,0.004,24726.0,16797.0,1.0
g_mp[s_helpers x Pop|TestInsertionProb],1.075,0.789,0.515,1.416,0.006,0.004,24306.0,16372.0,1.0
g_mp[signals x ChangeParamProb|Pop],1.075,0.863,0.533,1.454,0.006,0.004,24826.0,16745.0,1.0
g_mp[lazy_import x Pop|StatemInsertProb],1.075,0.705,0.513,1.452,0.005,0.004,24955.0,16059.0,1.0
g_mp[python x ChromLen|Pop],1.075,0.658,0.534,1.467,0.005,0.004,24295.0,15955.0,1.0
g_mp[python x ChangeParamProb|RandPert],1.075,0.738,0.502,1.422,0.006,0.004,24669.0,16906.0,1.0
g_mp[decorators x RandPert|TestChangeProb],1.075,0.774,0.564,1.494,0.006,0.005,22767.0,17249.0,1.0
g_mp[headers x Pop|TestChangeProb],1.075,0.718,0.528,1.48,0.005,0.004,25309.0,16436.0,1.0
g_mp[python x StatemInsertProb|TestChangeProb],1.075,0.926,0.531,1.461,0.007,0.005,24776.0,16676.0,1.0
g_mp[h_base x Elite|Pop],1.075,0.697,0.54,1.459,0.006,0.004,22044.0,16283.0,1.0
g_mp[packages x ChromLen|Crossover],1.075,0.654,0.511,1.45,0.005,0.004,23544.0,15068.0,1.0
g_mp[cmd x Elite|Pop],1.075,0.76,0.547,1.497,0.006,0.004,24823.0,15889.0,1.0
g_mp[lazy_import x Pop|TestInsertionProb],1.075,0.647,0.54,1.463,0.005,0.004,23848.0,16052.0,1.0
g_mp[decorators x Elite|Pop],1.075,0.791,0.534,1.47,0.006,0.004,23473.0,17437.0,1.0
g_mp[signals x Crossover|Elite],1.075,0.701,0.534,1.453,0.005,0.004,25537.0,16613.0,1.0
g_mp[config x Elite|TestChangeProb],1.075,0.693,0.517,1.454,0.005,0.004,23178.0,16560.0,1.0
g_mp[namedtupleutils x TestChangeProb|TestInsertionProb],1.075,0.718,0.547,1.471,0.006,0.004,23881.0,16820.0,1.0
g_mp[config x Pop|TestChangeProb],1.075,1.239,0.512,1.437,0.009,0.006,24212.0,16719.0,1.0
g_mp[positional_validation x ChangeParamProb|TestDeleteProb],1.075,1.025,0.501,1.445,0.008,0.006,22888.0,14355.0,1.0
g_mp[yield_from x RandPert|TestChangeProb],1.075,0.734,0.542,1.474,0.006,0.004,25174.0,16893.0,1.0
g_mp[journaling x ChromLen|Elite],1.075,0.944,0.534,1.452,0.007,0.005,25900.0,16565.0,1.0
g_mp[validation x RandPert|StatemInsertProb],1.075,0.695,0.527,1.457,0.005,0.004,22832.0,16521.0,1.0
g_mp[packages x RandPert|TestInsertionProb],1.075,0.797,0.541,1.497,0.006,0.004,22649.0,16457.0,1.0
g_mp[packages x ChangeParamProb|TestInsertProb],1.075,0.655,0.507,1.444,0.005,0.004,24149.0,16713.0,1.0
g_mp[py_base x ChromLen|TestChangeProb],1.075,1.061,0.544,1.461,0.008,0.006,23698.0,16252.0,1.0
g_mp[h_base x TestInsertProb|TestInsertionProb],1.075,1.013,0.513,1.456,0.007,0.005,24584.0,16382.0,1.0
g_mp[validation x ChangeParamProb|TestInsertionProb],1.075,0.754,0.543,1.484,0.006,0.004,24113.0,16690.0,1.0
g_mp[immutable_list x ChangeParamProb|TestChangeProb],1.075,0.802,0.508,1.442,0.006,0.004,24719.0,17302.0,1.0
g_mp[py_base x Crossover|TestChangeProb],1.075,0.777,0.541,1.475,0.006,0.004,22452.0,16421.0,1.0
g_mp[headers x RandPert|TourSize],1.075,0.742,0.532,1.473,0.006,0.004,24757.0,15464.0,1.0
g_mp[positional_validation x RandPert|TestDeleteProb],1.075,0.884,0.512,1.43,0.007,0.005,25191.0,16425.0,1.0
g_mp[journaling x Crossover|RandPert],1.075,0.824,0.544,1.47,0.006,0.004,22634.0,16499.0,1.0
g_mp[packages x RandPert|TourSize],1.075,0.999,0.52,1.449,0.007,0.005,23427.0,16419.0,1.0
g_mp[dict_unpacking x Crossover|TestChangeProb],1.075,0.744,0.514,1.462,0.006,0.004,25021.0,15462.0,1.0
g_mp[positional_validation x StatemInsertProb|TestDeleteProb],1.075,0.787,0.517,1.434,0.006,0.004,24585.0,15789.0,1.0
g_mp[maybe x TestInsertionProb|TourSize],1.075,0.833,0.549,1.478,0.006,0.004,24517.0,16494.0,1.0
g_mp[yield_from x ChangeParamProb|TestInsertionProb],1.075,0.707,0.537,1.488,0.005,0.004,23745.0,16123.0,1.0
g_mp[signals x ChromLen|TestDeleteProb],1.075,0.938,0.531,1.465,0.007,0.005,24089.0,17084.0,1.0
g_mp[namedtupleutils x TestDeleteProb|TestInsertionProb],1.075,1.41,0.493,1.422,0.01,0.007,23199.0,16514.0,1.0
